GRCh38_001_MCF10A_wt_{{resolution}}.matrix	GRCh38_001_MCF10A_wt_{{resolution}}_abs.bed	GRCh38_001_MCF10A_wt	MCF10A_wt
GRCh38_002_MCF10A_wt_{{resolution}}.matrix	GRCh38_002_MCF10A_wt_{{resolution}}_abs.bed	GRCh38_002_MCF10A_wt	MCF10A_wt
GRCh38_003_MCF10A_shHPA_{{resolution}}.matrix	GRCh38_003_MCF10A_shHPA_{{resolution}}_abs.bed	GRCh38_003_MCF10A_shHPA	MCF10A_shHPA
GRCh38_004_MCF10A_shHPA_{{resolution}}.matrix	GRCh38_004_MCF10A_shHPA_{{resolution}}_abs.bed	GRCh38_004_MCF10A_shHPA	MCF10A_shHPA
GRCh38_009_MCF10A_TGFB_{{resolution}}.matrix	GRCh38_009_MCF10A_TGFB_{{resolution}}_abs.bed	GRCh38_009_MCF10A_TGFB	MCF10A_TGFB
GRCh38_010_MCF10A_TGFB_{{resolution}}.matrix	GRCh38_010_MCF10A_TGFB_{{resolution}}_abs.bed	GRCh38_010_MCF10A_TGFB	MCF10A_TGFB
GRCh38_011_MCF10A_shHPA_shZ_{{resolution}}.matrix	GRCh38_011_MCF10A_shHPA_shZ_{{resolution}}_abs.bed	GRCh38_011_MCF10A_shHPA_shZ	GRCh38_MCF10A_shHPA_shZ
GRCh38_012_MCF10A_shHPA_shZ_{{resolution}}.matrix	GRCh38_012_MCF10A_shHPA_shZ_{{resolution}}_abs.bed	GRCh38_012_MCF10A_shHPA_shZ	GRCh38_MCF10A_shHPA_shZ
GRCh38_013_MCF10A_shZ_{{resolution}}.matrix	GRCh38_013_MCF10A_shZ_{{resolution}}_abs.bed	GRCh38_013_MCF10A_shZ	GRCh38_MCF10A_shZ
GRCh38_014_MCF10A_shZ_{{resolution}}.matrix	GRCh38_014_MCF10A_shZ_{{resolution}}_abs.bed	GRCh38_014_MCF10A_shZ	GRCh38_MCF10A_shZ
